book_id,titles,isbn,author,review source,review content
1,"The Hunger Games (The Hunger Games, #1)",439023483,Suzanne Collins,Twitter,LIAM PAYNE really survived the hunger games pic.twitter.com/ID3OSCzTzw
1,"The Hunger Games (The Hunger Games, #1)",439023483,Suzanne Collins,Twitter,"If the US had a hunger games with each state, Florida would smoke the field lmao we wild https://twitter.com/barstoolsports/status/1116927318797189120 …"
1,"The Hunger Games (The Hunger Games, #1)",439023483,Suzanne Collins,Twitter,Let the 14th hunger games begin   pic.twitter.com/skjN3FtP1J
1,"The Hunger Games (The Hunger Games, #1)",439023483,Suzanne Collins,Twitter,Peeta from The Hunger Games really be about getting that bread
1,"The Hunger Games (The Hunger Games, #1)",439023483,Suzanne Collins,Twitter,'Like the Hunger Games' - dozens of people sleep overnight in cars in attempt to buy houses in Cork https://buff.ly/2GmRK9E pic.twitter.com/bglOy0W6rS
1,"The Hunger Games (The Hunger Games, #1)",439023483,Suzanne Collins,Twitter,The real Hunger Games! pic.twitter.com/14WmwX4Qa2
1,"The Hunger Games (The Hunger Games, #1)",439023483,Suzanne Collins,Twitter,"I need new mutuals so 
rt/like+follow if you stan/like:

Zendaya
Tom Holland
MCU
Star Wars 
Harry Potter 
Friends 
Hunger Games 
R5/The Driver Era
Selena Gomez 
The Umbrella Academy

follow back pic.twitter.com/JL8XvenkVQ"
1,"The Hunger Games (The Hunger Games, #1)",439023483,Suzanne Collins,Twitter,"Haymitch when he threw his axe into the forcefield to win the Hunger Games
pic.twitter.com/xq6ZaRP16G"
1,"The Hunger Games (The Hunger Games, #1)",439023483,Suzanne Collins,Twitter,"I have never watched:

-harry potter
-game of thrones
-star wars
-pirate of the caribbeans
-the hunger games
-narnia
-star trek

mother of all fuck faces. am i stupid and retarded for not watching these or am i still in the cool kids club"
1,"The Hunger Games (The Hunger Games, #1)",439023483,Suzanne Collins,Twitter,Screaming why was I obsessed with the hunger games pic.twitter.com/cz4GbZyucq
1,"The Hunger Games (The Hunger Games, #1)",439023483,Suzanne Collins,Twitter,Hi @FoodleFumper - thank you for the #IndieApril support! My book is FREE while I'm building my mailing list. YA near-future dystopia: http://freebook.tallerbooks.com  Tie-in to a series I'm publishing in the summer. V FOR VENDETTA meets HUNGER GAMES. I hope it keeps you entertained! pic.twitter.com/ahq5RUH55D
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",439554934,"J.K. Rowling, Mary GrandPr??",Twitter,there is a man my age at the airport reading Harry Potter and the Sorcerer’s Stone and I have a few questions
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",439554934,"J.K. Rowling, Mary GrandPr??",Twitter,Made my first boss battle based on Harry Potter and the Sorcerer’s Stone!!!  Thank you @hartel30 @MarianaGSerrato !!! #XPLAP #gamification #gamemyclasspic.twitter.com/sZ6cFxV5yB
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",439554934,"J.K. Rowling, Mary GrandPr??",Twitter,"i aaaaam currently rereading harry potter and the sorcerer’s stone and everything is good, until i spill fucken cocacola on my book. fuck me. yeehaw."
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",439554934,"J.K. Rowling, Mary GrandPr??",Twitter,"Top notch journalism as usual from @Kotaku. I also enjoyed Mike Fahey's book reivew: ""Harry Potter and the Sorcerer's Stone Is Missing Six Years Worth Of Content"" and his restaurant review: ""This Appetizer Is Missing Three Courses Worth Of Food"" pic.twitter.com/orKOFFwC0d"
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",439554934,"J.K. Rowling, Mary GrandPr??",Twitter,"For ""Harry Potter and the Sorcerer's Stone,"" Tom Marvolo Riddle's had to be translated into 68 different languages while still being an anagram for ""I am Lord Voldemort,"" or something equivalent to that."
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",439554934,"J.K. Rowling, Mary GrandPr??",Twitter,"Alright, folks want to see my reaction to a 22-year book for kids and teens, and maybe this will distract folks from what the author of said book is up to on Twitter.

Time to livetweet my first reading of Harry Potter and the Sorcerer's Stone."
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",439554934,"J.K. Rowling, Mary GrandPr??",Twitter,"You know your book bestie is the best of besties when she sends you multiple copies of multiple Harry Potter books in the series. We JUST finished reading Sorcerer’s Stone aloud TODAY and ½ my class is clamoring for more!!!
@erinvarley - you are MAGIC!!!pic.twitter.com/TsvsUEFFeO"
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",439554934,"J.K. Rowling, Mary GrandPr??",Twitter,"""But from that moment on, Hermione Granger became their friend. There are some things you can't share without ending up liking each other, and knocking out a twelve-foot mountain troll is one of them.""

Harry Potter and the sorcerer's stone"
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",439554934,"J.K. Rowling, Mary GrandPr??",Twitter,Imagine dating someone who calls Harry Potter and the Philosopher's Stone Harry Potter and the Sorcerer's Stone. Haha jokes that's me.
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",439554934,"J.K. Rowling, Mary GrandPr??",Twitter,"""One can never have enough socks."" 
-Albus Dumbledore, Harry Potter and the Sorcerer's Stone (JKR)

Colorful dice for a colorful Wizard.  Who do they remind you of? 

#dice #harrypotter #shinydice #metaldice #dumbledore #wizard #alwayspic.twitter.com/uKOgYmRPcu"
