book_id,titles,isbn,author,review source,average rating,review author,review content
1114,North and South,0140620192,"Elizabeth Gaskell, Alan Shelston",Barnes and Noble,4.4,Anonymous,"I first saw the BBC miniseries about 18 months ago.  I was enthralled.  The story has many similarities to the beloved Pride and Predjudice, but the setting and scope of the story are much deeper.

The story is primarily set in the two different worlds in Victorian England.  Gently born and raised Margaret is pulled away from the genteel life she is accustomed to in the South of England, to live in a northern manufacturing town. The two very differing climates are metaphors for the experiences and people by whom she is surrounded.

Her own predjudices are tested along a personal journey that opens her heart and mind.  Themes of devotion and love are timeless.  The more weighty issues of poverty, fair business practices and moral duty are also timeless. In our age of greed, a lot could be gained by reading some of the Victorians like Elizabeth Gaskell and Charles Dickens.

This book may not be an easy read to everyone.  But if you've read Austen and/or Dickens, it is an enjoyable book.  This reader loves history and also loves good romance.   I read the final chapter three times because I found it so deeply satisfying.

If you have seen the BBC adaptation, you'll find that it's not entirely true to the book.  However, I found them to have the same soul and spirit.  North and South is now part of my permanent collection."
1114,North and South,0140620192,"Elizabeth Gaskell, Alan Shelston",Barnes and Noble,4.4,Guest,"I saw BBC's movie production of North and South first and then decided I had to read the novel by Elizabeth Gaskel. I was not dissapointed.  If anything it will enhance the movie experience because it gives you more details/information about the characters, their actions and events that take place in the novel.  This story tells of the hardships that people faced on a daily basis.  The love story of John Thornton and Margaret Hale is especially touching because they both had to overcome  prejudices 'on her part' and missunderstandings 'on his part'.  What a wonderful novel.  I highly recommend this novel to anyone who has already seen the movie.  I have to admit both the movie and the novel of North and South surpasses all versions of Pride and Prejudice."
1114,North and South,0140620192,"Elizabeth Gaskell, Alan Shelston",Barnes and Noble,4.4,Libejin,"I recommend it to everyone who likes Victorian era classics, romance, and good historical imagery. I read North and South the first time during my first semester of grad school in 2008 after watching the BBC version on DVD. So I got to compare the endings and read the commentary & footnotes, & etc. I liked the book version better than the DVD, except for the ending and watching Richard Armitage play John Thornton. After re-watching the DVD a few times over 3-1/2 years I bought N&S for my Nook and re-read it with fresh perspective this month (June 2012), and love the book even more than the first time I read it. I understand the ending much better because I get the spirit of the message Gaskell meant for us to come away with. The dvd ending (on the train) gives us a metaphorical visual of what E. Gaskell would have written if she'd been given 21st Century freedom at the time of the Victorian periodical. I am in love with her John Thornton (again)."
1115,A Stolen Life,1451629184,Jaycee Dugard,Barnes and Noble,4.1,Heather Seychelle,Be prepared that this is sad and graphic. Traumatic to read but soo addicting. Couldnt put it down!
1115,A Stolen Life,1451629184,Jaycee Dugard,Barnes and Noble,4.1,DottiePatches,"I read this book in one day.  I couldn't put it down.  I was surprised how much detail (in the beginning of the book) that Jaycee gave about what happened to her but I am glad she did.  People need to know what kind of things men like Phillip Garido are capable of.  My mind had never even thought up those kind of evils.  Prison is not a harsh enough punishment for this man.  Or his wife for that matter.  How dare she not do something!!!!  EGH!  My hear aches as I read this book.  Jaycee and I are 2 years apart and all I could think was how alike we were as kids.  How if we lived by each other as kids we would have been best friends.  I am amazed at how strong she is.  I am SO angry for her!  She chooses not to waste her time on anger.  That the Garidos have stolen enough and she will give them no more.  I wish I had her outlook on life.  Her book shows that no mate her bleak your situation there is always something to be thankful for.  A pet, a beautiful day, freedom.  She is amazing and so is her real family.  Bless her moms heart!  Jaycee's story gives hope in a book that I wasn't looking for it.  Truly Amazing."
1115,A Stolen Life,1451629184,Jaycee Dugard,Barnes and Noble,4.1,Anonymous,"One of my worst fears since become a mother has been the fear of having some monster take my children away from me.  I wasn't sure how or if I could read this book. I read it in a day and a half!  She admits in the beginning that she is not a professional writer and that the story is in her words so it may be confusing at times for someone else reading it but it is how she remembers everything. There were a few times I was slightly confused and felt she repeated things many times. For me, this made the book more real. I knew it was HER story. It made my stomach turn to read about (graphically) the things he did to her and made her do!  The part about her being reunited with her mother for some reason just really got to me. I was bawling! This is a ""read with a tissue box at hand"" book! Jaycee is an UNBELIEVABLE woman and survivor of some unspeakable things! It amazes me how she went through all of that for 18 YEARS and just seems so ""normal"". She seems like a person I would want to know. Not because she is ""famous"" for what happened to her but because she is such a real person. A beautiful person. A strong person. A wonderful mother. Many times reading this book I had thoughts about the things that I ""struggle"" with and said to myself, ""If Jaycee can be so strong through all of that then I can certainly deal with the things in my life that aren't anywhere near as harrowing."" Buy the book! She is a true inspiration!  Jaycee Dugard, I hope you have a life with nothing but the best of the best and happiness overflowing! Wish I could give you a great big hug. Thank you for sharing your difficult story with us."
1116,"The Immortals of Meluha (Shiva Trilogy, #1)",0000000000,Amish Tripathi,Barnes and Noble,3,Saumyakul on LibraryThing,"Who is God? It is not often that I ponder over a question like this. It was especially not until I lay my hands on this one-of-its kind book, called The Immortals of Meluha, authored by Amish. A book that borrows heavily from the royal pages of Indian mythology, The Immortals of Meluha weaves together myths and legends and modern sensibilities with remarkable ease.The book cover was immediately intriguing- the back of the mighty Shiva, with deep scars over a shoulder and an arm; long, majestic tresses falling over his back; a trident elegantly positioned at the very centre of his form; and the backdrop comprising of Indus and the magnificent Mountains of the North. This was easily a book I would have wanted to read, and as it did turn out, it was a book I simply could not keep down once I started on. The first of a series of three (called the Shiva Trilogy), this book tells the story of Shiva, the Destroyer, a much hailed and praised God from the Hindu Trinity of Brahma-Vishnu-Mahesh. One of the boldest attempts in the Indian fantasy fiction genres, this book lays down the hypothesis that Shiva was never actually a God. More so, he did not even belong to India (the Saptasindhu, as mentioned in the book). Blasphemy you would say, but so long as we consider this book to remain within the realm of fiction, it is actually amazing how the author has carved out a story with Shiva as a War Hero, firmly supported by accurate facts and descriptions, giving strong evidence of the author's deep knowledge and research of the subject.The book is set in the Indus Valley Civilization, referred in this book as Meluha (It was only later that my History teacher informed me about the Indus Valley Civilization being called as 'Meluha' by the Sumerians and the Mesopotamians). This civilization was one of the finest the world has ever been testimony to, and is often hailed as the birthplace of men of greatness, because the things they did have not been imitated anywhere, anytime in the world. Before beginning the book, the author makes three claims, the fundamental premise on which his book is based-        I believe that the Hindu gods were not mythical beings or a figment of a rich imagination.        I believe that they were creatures of flesh and blood, like you and me.        I believe that they achieved godhood through their karma, their deeds.The story begins with an elaborate depiction of Shiva, who is not a God, not even an extraordinary human, but the head of a simple tribe of cattle herders, somewhere in the foot of the Himalayas, ridden with fatigue due to incessant struggles for existence being fought with the other tribes. His assistant, comrade and best pal, curiously, is a fellow tribesman called Nandi. Due to the course of events, Shiva and his tribe migrate to Meluha, the land of Suryavanshis, the descendants of the illustrious Lord Rama. The land of the Suryavanshis is plagued with many evils, and is under threat from the opposite race, the Chandravanshis. To add to their already cup-full of woes, the Chandravanshis have employed the despicable, sinister Nagas, an ostracized caste, to spread terror in the land of Meluhans.It is from these terrors that the Meluhans seek respite. According to the Meluhan legend, it will be 'Neelkanth', the one whose neck will turn blue on drinking their nectar, Somaras, who will be their Savior. Thus is defined the character and course of the protagonist, Shiva, who after drinking the Somaras is hailed by the hapless people as their Lord, the one who will alleviate all evils from their land. What then ensues is the journey of Shiva through the land of Meluhans, during which, he establishes himself as a warrior of unparalleled might and war skills. At most places during the narrative, Shiva is shown to be spellbound by the superior technology and infrastructure possessed by the inhabitants of the magnificent land of Meluha. Also, as an undercurrent, laced into the narrative is the love story of our"
1116,"The Immortals of Meluha (Shiva Trilogy, #1)",0000000000,Amish Tripathi,Barnes and Noble,3,none,none
1116,"The Immortals of Meluha (Shiva Trilogy, #1)",0000000000,Amish Tripathi,Barnes and Noble,3,none,none
1117,"The Lost World (Jurassic Park, #2)",0752224417,Michael Crichton,Barnes and Noble,4.6,Anonymous,"First off, this is an extremely beautiful copy of both Jurassic Park and The Lost World. The pages are significantly thinner than that of their original prints, which is perfectly acceptable since both novels were bound together. 
Now onto the biggest problem: the red on the cover bleeds. BADLY.
It pains me to say I had to retire this copy to the shelves only after 2 weeks of having it. The red ink used on the cover can get loosened up if  you hold the book in your hand, or if you position it in your lap, and touching it will smear the ink all over the white leather and get all over your fingers. With this, I am extremely disappointed. 
Other wise, if you're going to buy it to complete or expand your B&amp;N Leatherbounds, or to buy it for your Jurassic Park collection, then by all means, do. Though, the only way I would suggest reading this is on a table without touching the covers."
